"","Bigrams","Frequency","Pred","Succ","PredFreq","SuccFreq","PriorML","SuccML"
"281","ku",8936,"k","u",5338371,21856142,0.00167391887899886,0.00040885532313983
"282","kv",358,"k","v",5338371,7408891,6.70616560744841e-05,4.83203221642753e-05
"283","kw",14057,"k","w",5338371,16150307,0.00263320027776264,0.00087038593136341
"284","kx",2,"k","x",5338371,1245155,3.7464612332114e-07,1.6062257309331e-06
"285","ky",49764,"k","y",5338371,14373781,0.00932194484047662,0.00346213706748419
"286","kz",36,"k","z",5338371,458700,6.74363021978053e-06,7.8482668410726e-05
"287","la",2805282,"l","a",30253245,60283697,0.0927266480009004,0.046534670891203
"288","lb",36574,"l","b",30253245,10960911,0.0012089281662182,0.00333676644213241
"289","lc",56472,"l","c",30253245,19814640,0.00186664273534955,0.00285001392909485
"290","ld",2012500,"l","d",30253245,32242297,0.0665217896460363,0.0624180094861107
"291","le",5038239,"l","e",30253245,97935156,0.166535490655631,0.0514446415953021
"292","lf",489413,"l","f",30253245,18008835,0.0161772067756699,0.0271762720908932
"293","lg",37445,"l","g",30253245,14743382,0.00123771846623395,0.00253978361274231
"294","lh",7721,"l","h",30253245,46324263,0.00025521229210288,0.000166672916091509
"295","li",3348377,"l","i",30253245,51122693,0.110678275999814,0.0654968821771576
"296","lj",390,"l","j",30253245,892366,1.289117911153e-05,0.000437040407187186
"297","lk",182436,"l","k",30253245,5338371,0.00603029526254126,0.0341744700771078
"298","ll",4235407,"l","l",30253245,30253245,0.139998436531354,0.139998436531354
"299","lm",157166,"l","m",30253245,18391177,0.00519501296472494,0.00854572820434494
"300","ln",32936,"l","n",30253245,53779423,0.00108867660312142,0.000612427545011035
"301","lo",2267154,"l","o",30253245,59499493,0.0749392007369788,0.0381037532538302
"302","lp",109882,"l","p",30253245,13324156,0.00363207318752088,0.00824682629053578
"303","lq",741,"l","q",30253245,762186,2.4493240311907e-05,0.000972203635333108
"304","lr",70424,"l","r",30253245,46936590,0.00232781640448818,0.00150040725157068
"305","ls",600478,"l","s",30253245,47770576,0.0198483832064957,0.0125700389294029
"306","lt",543048,"l","t",30253245,70213254,0.0179500744465594,0.00773426623981848
"307","lu",568081,"l","u",30253245,21856142,0.0187775228739925,0.0259918241746416
"308","lv",185312,"l","v",30253245,7408891,0.00612535944491244,0.0250121104494586
"309","lw",101304,"l","w",30253245,16150307,0.00334853335567804,0.00627257426128184
"310","lx",604,"l","x",30253245,1245155,1.99648004701644e-05,0.000485080170741795
"311","ly",2589130,"l","y",30253245,14373781,0.0855818937770147,0.180128666215243
"312","lz",3453,"l","z",30253245,458700,0.000114136516595162,0.00752779594506213
"313","ma",2923135,"m","a",18391177,60283697,0.158942247143834,0.0484896438916147
"314","mb",474640,"m","b",18391177,10960911,0.0258080274035751,0.043302969981236
"315","mc",1865,"m","c",18391177,19814640,0.000101407321565118,9.41223257147241e-05
"316","md",1389,"m","d",18391177,32242297,7.55253456589538e-05,4.30800572304138e-05
"317","me",4724108,"m","e",18391177,97935156,0.256868171080078,0.0482371008833641
"318","mf",32893,"m","f",18391177,18008835,0.00178852065857449,0.00182649238554298
"319","mg",573,"m","g",18391177,14743382,3.11562441055295e-05,3.88648954493616e-05
"320","mh",2631,"m","h",18391177,46324263,0.000143057728170416,5.67952910551432e-05
"321","mi",1562884,"m","i",18391177,51122693,0.0849800967061543,0.0305712377084674
"322","mj",85,"m","j",18391177,892366,4.62178141181502e-06,9.52523964382327e-05
"323","mk",1143,"m","k",18391177,5338371,6.21493665141714e-05,0.000214110259478032
"324","ml",31656,"m","l",18391177,30253245,0.00172126014555784,0.00104636709219127
"325","mm",415443,"m","m",18391177,18391177,0.0225892557066902,0.0225892557066902
"326","mn",67759,"m","n",18391177,53779423,0.00368432101980205,0.00125994285955801
"327","mo",1875977,"m","o",18391177,59499493,0.10200418385403,0.0315292938714621
"328","mp",1042198,"m","p",18391177,13324156,0.0566683687509505,0.0782186879228973
"329","mq",492,"m","q",18391177,762186,2.67519582895646e-05,0.000645511725484331
"330","mr",8440,"m","r",18391177,46936590,0.000458915707243751,0.000179817068091227
"331","ms",553471,"m","s",18391177,47770576,0.0300943762326903,0.0115860231620402
"332","mt",8628,"m","t",18391177,70213254,0.000469138000248706,0.000122882782216588
"333","mu",642704,"m","u",18391177,21856142,0.0349463223588137,0.0294061047004545
"334","mv",1322,"m","v",18391177,7408891,7.18822944284643e-05,0.000178434262293776
"335","mw",3292,"m","w",18391177,16150307,0.000178998875384648,0.000203835134527164
"336","mx",8,"m","x",18391177,1245155,4.34991191700238e-07,6.42490292373239e-06
"337","my",727163,"m","y",18391177,14373781,0.03953868749129,0.0505895421670888
"338","mz",214,"m","z",18391177,458700,1.16360143779814e-05,0.000466535862219315
"339","na",1366255,"n","a",53779423,60283697,0.0254047909736778,0.0226637560068687
"340","nb",281526,"n","b",53779423,10960911,0.00523482745435926,0.0256845439215773
"341","nc",2084120,"n","c",53779423,19814640,0.0387531119476682,0.105180815800842
"342","nd",9414961,"n","d",53779423,32242297,0.175066233046048,0.292006521743783
"343","ne",4327022,"n","e",53779423,97935156,0.0804586914218102,0.0441825201156569
"344","nf",326686,"n","f",53779423,18008835,0.00607455383074675,0.0181403183492991
"345","ng",6239065,"n","g",53779423,14743382,0.116012122331621,0.423177327969933
"346","nh",60699,"n","h",53779423,46324263,0.00112866588397574,0.00131030686877846
"347","ni",1674922,"n","i",53779423,51122693,0.0311442910051303,0.0327627889242846
"348","nj",63162,"n","j",53779423,892366,0.00117446406964984,0.0707803748686077
"349","nk",445067,"n","k",53779423,5338371,0.00827578607528013,0.083371313084085
"350","nl",457557,"n","l",53779423,30253245,0.0085080310363315,0.0151242288223957
"351","nm",87142,"n","m",53779423,18391177,0.00162035951929049,0.00473825030339276
"352","nn",493180,"n","n",53779423,53779423,0.00917042192884814,0.00917042192884814
"353","no",3120135,"n","o",53779423,59499493,0.058017264335469,0.0524396905365227
"354","np",25280,"n","p",53779423,13324156,0.000470068263841358,0.00189730591566175
"355","nq",63121,"n","q",53779423,762186,0.00117370169627889,0.0828157431388139
"356","nr",54341,"n","r",53779423,46936590,0.00101044222806184,0.00115775347122575
"357","ns",2299629,"n","s",53779423,47770576,0.0427603881134984,0.0481390259979281
"358","nt",4962149,"n","t",53779423,70213254,0.092268542933233,0.0706725399737206
"359","nu",346004,"n","u",53779423,21856142,0.00643376184976919,0.0158309732797307
"360","nv",202644,"n","v",53779423,7408891,0.00376805827760554,0.0273514619124509
"361","nw",47285,"n","w",53779423,16150307,0.000879239630369407,0.00292780812154221
"362","nx",25901,"n","x",53779423,1245155,0.000481615431240309,0.0208014263284491
"363","ny",772297,"n","y",53779423,14373781,0.0143604552990463,0.053729564962761
"364","nz",18006,"n","z",53779423,458700,0.000334812071152195,0.0392544146500981
"365","oa",390733,"o","a",59499493,60283697,0.00656699713390835,0.0064815699674159
"366","ob",449522,"o","b",59499493,10960911,0.00755505597333409,0.0410113721386845
"367","oc",620101,"o","c",59499493,19814640,0.0104219543517791,0.0312950929211936
"368","od",1013147,"o","d",59499493,32242297,0.0170278257665154,0.0314229163015278
"369","oe",270012,"o","e",59499493,97935156,0.00453805547553153,0.00275704875581145
"370","of",6796521,"o","f",59499493,18008835,0.114228217037076,0.377399259863284
"371","og",274294,"o","g",59499493,14743382,0.00461002247531756,0.0186045508418625
"372","oh",93154,"o","h",59499493,46324263,0.00156562678609715,0.00201091164688362
"373","oi",531332,"o","i",59499493,51122693,0.00893002567265573,0.0103932709491654
"374","oj",239458,"o","j",59499493,892366,0.00402453849480701,0.268340568780075
"375","ok",652692,"o","k",59499493,5338371,0.010969706918343,0.122264263761361
"376","ol",1804856,"o","l",59499493,30253245,0.0303339727617511,0.0596582614526144
"377","om",3240116,"o","m",59499493,18391177,0.0544561951141332,0.176177740010876
"378","on",8830487,"o","n",59499493,53779423,0.148412810845296,0.164198247348247
"379","oo",1933683,"o","o",59499493,59499493,0.0324991508751175,0.0324991508751175
"380","op",1106675,"o","p",59499493,13324156,0.0185997383204593,0.0830577936793895
"381","oq",13524,"o","q",59499493,762186,0.000227296054438649,0.0177437003566059
"382","or",7218531,"o","r",59499493,46936590,0.121320882515755,0.153793255965122
"383","os",1663622,"o","s",59499493,47770576,0.0279602718631569,0.0348252447280518
"384","ot",2906507,"o","t",59499493,70213254,0.0488492733879262,0.0413954180217883
"385","ou",7425307,"o","u",59499493,21856142,0.124796139019201,0.339735484881092
"386","ov",1050595,"o","v",59499493,7408891,0.0176572092807581,0.141801924201611
"387","ow",2571527,"o","w",59499493,16150307,0.0432193094485696,0.159224651271335
"388","ox",48384,"o","x",59499493,1245155,0.000813183399730818,0.0388578128827335
"389","oy",288709,"o","y",59499493,14373781,0.00485229344727358,0.0200858076243126
"390","oz",23805,"o","z",59499493,458700,0.000400087442761907,0.0518966644865925
"391","pa",1540018,"p","a",13324156,60283697,0.115580904336455,0.025546177103239
"392","pb",6035,"p","b",13324156,10960911,0.000452936756369409,0.00055059292060669
"393","pc",674,"p","c",13324156,19814640,5.05848175299058e-05,3.40152533682166e-05
"394","pd",4325,"p","d",13324156,32242297,0.000324598421093238,0.000134140566970151
"395","pe",2409684,"p","e",13324156,97935156,0.180850779591593,0.0246048926495813
"396","pf",3172,"p","f",13324156,18008835,0.000238063859354394,0.000176135768915646
"397","pg",19319,"p","g",13324156,14743382,0.0014499229819885,0.00131035063732324
"398","ph",325260,"p","h",13324156,46324263,0.0244113022993727,0.00702137452246137
"399","pi",763496,"p","i",13324156,51122693,0.0573016407193071,0.0149345810088682
"400","pj",220,"p","j",13324156,892366,1.65113647723728e-05,0.00024653561431072
"401","pk",3588,"p","k",13324156,5338371,0.000269285349105789,0.000672115145238126
"402","pl",1324561,"p","l",13324156,30253245,0.0994104992466315,0.0437824438337111
"403","pm",26678,"p","m",13324156,18391177,0.00200222813362437,0.00145058687652237
"404","pn",3888,"p","n",13324156,53779423,0.000291800846522662,7.22953089325633e-05
"405","po",1725805,"p","o",13324156,59499493,0.129524526731749,0.029005373205449
"406","pp",805170,"p","p",13324156,13324156,0.0604293435171429,0.0604293435171429
"407","pq",11,"p","q",13324156,762186,8.25568238618641e-07,1.44321727242432e-05
"408","pr",1901877,"p","r",13324156,46936590,0.142739022269028,0.0405201357831917
"409","ps",271689,"p","s",13324156,47770576,0.0203907099256418,0.00568737123873072
"410","pt",509969,"p","t",13324156,70213254,0.0382740190072827,0.00726314436302867
"411","pu",514720,"p","u",13324156,21856142,0.0386305894347079,0.0235503594367204
"412","pv",38,"p","v",13324156,7408891,2.85196300613712e-06,5.12897274369403e-06
"413","pw",8951,"p","w",13324156,16150307,0.000671787391261405,0.000554230950532395
"414","px",5,"p","x",13324156,1245155,3.75258290281201e-07,4.01556432733274e-06
"415","py",149099,"p","y",13324156,14373781,0.0111901271645273,0.0103729839768673
"416","pz",458,"p","z",13324156,458700,3.4373659389758e-05,0.000998473948114236
"417","qa",123,"q","a",762186,60283697,0.000161377931371083,2.04035263464349e-06
"418","qb",4,"q","b",762186,10960911,5.2480628088157e-06,3.649331702447e-07
"419","qc",2,"q","c",762186,19814640,2.62403140440785e-06,1.00935469935361e-07
"420","qd",5,"q","d",762186,32242297,6.56007851101962e-06,1.55075799965493e-07
"421","qe",104,"q","e",762186,97935156,0.000136449633029208,1.06192713881009e-06
"422","qf",11,"q","f",762186,18008835,1.44321727242432e-05,6.10811304562455e-07
"423","qg",1,"q","g",762186,14743382,1.31201570220392e-06,6.7827042669043e-08
"424","qh",11,"q","h",762186,46324263,1.44321727242432e-05,2.3745655705305e-07
"425","qi",36,"q","i",762186,51122693,4.72325652793413e-05,7.04188255497417e-07
"426","qj",0,"q","j",762186,892366,0,0
"427","qk",0,"q","k",762186,5338371,0,0
"428","ql",4,"q","l",762186,30253245,5.2480628088157e-06,1.32217221656718e-07
"429","qm",2,"q","m",762186,18391177,2.62403140440785e-06,1.08747797925059e-07
"430","qn",10,"q","n",762186,53779423,1.31201570220392e-05,1.8594472462079e-07
"431","qo",12,"q","o",762186,59499493,1.57441884264471e-05,2.01682390806254e-07
"432","qp",0,"q","p",762186,13324156,0,0
"433","qq",662,"q","q",762186,762186,0.000868554394858998,0.000868554394858998
"434","qr",99,"q","r",762186,46936590,0.000129889554518188,2.10922864230231e-06
"435","qs",28,"q","s",762186,47770576,3.67364396617099e-05,5.86134862598266e-07
"436","qt",46,"q","t",762186,70213254,6.03527223013805e-05,6.55146961284546e-07
"437","qu",754770,"q","u",762186,21856142,0.990270091552456,0.0345335421045489
"438","qv",11,"q","v",762186,7408891,1.44321727242432e-05,1.48470263633248e-06
"439","qw",7,"q","w",762186,16150307,9.18410991542747e-06,4.33428293344517e-07
"440","qx",8,"q","x",762186,1245155,1.04961256176314e-05,6.42490292373239e-06
"441","qy",8,"q","y",762186,14373781,1.04961256176314e-05,5.56568936176223e-07
"442","qz",3,"q","z",762186,458700,3.93604710661177e-06,6.5402223675605e-06
"443","ra",3193102,"r","a",46936590,60283697,0.0680301231938664,0.0529679193364667
"444","rb",131499,"r","b",46936590,10960911,0.00280163088115264,0.0119970867385019
"445","rc",583069,"r","c",46936590,19814640,0.0124224831842279,0.0294261717598705
"446","rd",1315124,"r","d",46936590,32242297,0.0280191637270624,0.0407887812707637
"447","re",10687711,"r","e",46936590,97935156,0.227705314766156,0.109130484256338
"448","rf",189309,"r","f",46936590,18008835,0.00403329257621826,0.0105120070232194
"449","rg",711487,"r","g",46936590,14743382,0.0151584723133913,0.0482580591074694
"450","rh",95387,"r","h",46936590,46324263,0.00203225244952818,0.00205911532796539
"451","ri",3848979,"r","i",46936590,51122693,0.0820038055597989,0.0752890502071164
"452","rj",4952,"r","j",46936590,892366,0.000105504042794758,0.00554929255484857
"453","rk",679970,"r","k",46936590,5338371,0.0144869919182454,0.127374062237338
"454","rl",536247,"r","l",46936590,30253245,0.011424924563118,0.0177252721154375
"455","rm",905131,"r","m",46936590,18391177,0.0192841235377346,0.0492155015418535
"456","rn",994927,"r","n",46936590,53779423,0.0211972578323223,0.0185001427032789
"457","ro",4127469,"r","o",46936590,59499493,0.0879371296466147,0.0693698179915583
