,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
153,s179,153,38,1, 'h' 'e',he,0.20801512897014618,cheer,cheer,1,21484684
154,s179,154,38,2, 'e' 'e',ee,0.15205303765833378,cheer,cheer,1,2839722
155,s179,155,38,3, 'e' 'r',er,0.15194058930501342,cheer,cheer,1,12934901
156,s179,156,39,0,'t' 'h',ti,0.0958861680701375,tithe,thithe,0,5135552
157,s179,157,39,1, 'h' 'i',it,0.07998720183968544,tithe,thithe,0,6637233
158,s179,158,39,2, 'i' 't',th,0.31212520599365234,tithe,thithe,0,22288309
159,s179,159,39,3, 't' 'h',he,0.1359429219737649,tithe,thithe,0,21484684
160,s179,160,39,4, 'h' 'e',,0.5280223530717194,tithe,thithe,0,
161,s179,161,40,0,'t' 'h',th,0.0959419859573245,there,there,1,22288309
162,s179,162,40,1, 'h' 'e',he,0.14413792500272393,there,there,1,21484684
163,s179,163,40,2, 'e' 'r',er,0.0639105117879808,there,there,1,12934901
164,s179,164,40,3, 'r' 'e',re,0.1280370713211596,there,there,1,10687711
165,s179,165,41,0,'c' 'o',co,0.22403248120099306,cooed,cooed,1,3609272
166,s179,166,41,1, 'o' 'o',oo,0.13586502615362406,cooed,cooed,1,1933683
167,s179,167,41,2, 'o' 'e',oe,0.3600983680225909,cooed,cooed,1,270012
168,s179,168,41,3, 'e' 'd',ed,0.24801924265921116,cooed,cooed,1,7805967
169,s179,169,42,0,'p' 'u',pu,0.13595907529816031,puppy,puppy,2,514720
170,s179,170,42,1, 'u' 'p',up,0.2481341348029673,puppy,puppy,2,968744
171,s179,171,42,2, 'p' 'p',pp,0.14385914104059339,puppy,puppy,2,805170
172,s179,172,42,3, 'p' 'y',py,0.13607783382758498,puppy,puppy,2,149099
173,s179,173,43,0,'k' 'r',kr,0.16806674096733332,kremp,kremp,0,5683
174,s179,174,43,1, 'r' 'e',re,0.1040171911008656,kremp,kremp,0,10687711
175,s179,175,43,2, 'e' 'm',em,0.09598626103252172,kremp,kremp,0,2039661
176,s179,176,43,3, 'm' 'p',mp,0.11201786389574409,kremp,kremp,0,1042198
177,s179,177,44,0,'c' 'o',co,0.3120762933976948,cooed,cooed,2,3609272
178,s179,178,44,1, 'o' 'o',oo,0.14405821869149804,cooed,cooed,2,1933683
179,s179,179,44,2, 'o' 'e',oe,0.07995172310620546,cooed,cooed,2,270012
180,s179,180,44,3, 'e' 'd',ed,0.23202942311763763,cooed,cooed,2,7805967
181,s179,181,45,0,'d' 'r',dr,0.1840468430891633,druze,druze,1,
182,s179,182,45,1, 'r' 'u',ru,0.14403528487309813,druze,druze,1,705492
183,s179,183,45,2, 'u' 'z',uz,0.16801503440365195,druze,druze,1,
184,s179,184,45,3, 'z' 'e',ze,0.13600270496681333,druze,druze,1,
185,s179,185,46,0,'h' 'e',he,0.14390571508556604,heond,heond,1,21484684
186,s179,186,46,1, 'e' 'o',eo,0.1041714227758348,heond,heond,1,305120
187,s179,187,46,2, 'o' 'n',on,0.14387271692976356,heond,heond,1,8830487
188,s179,188,46,3, 'n' 'd',nd,0.20801007421687245,heond,heond,1,9414961
189,s179,189,47,0,'f' 'a',fa,0.13601424172520638,faqir,faqur,1,1043958
190,s179,190,47,1, 'a' 'q',aq,0.25604480132460594,faqir,faqur,1,4924
191,s179,191,47,2, 'q' 'u',qi,0.22391944006085396,faqir,faqur,1,36
192,s179,192,47,3, 'u' 'r',ir,0.95209367480129,faqir,faqur,1,2142678
193,s179,193,48,0,'t' 'h',th,0.07189723290503025,there,there,2,22288309
194,s179,194,48,1, 'h' 'e',he,0.12809542519971728,there,there,2,21484684
195,s179,195,48,2, 'e' 'r',er,0.055985439103096724,there,there,2,12934901
196,s179,196,48,3, 'r' 'e',re,0.12003103969618678,there,there,2,10687711
