,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
11,s278,11,faqir,fa,aq,qi,ir,f,a,q,w,i,r,1.0284064000006765,1.4125054001342505,1.6924946000799537,1.7405373000074178,2.0365321000572294,2.1244291001930833,faqwir,lowwf,
12,s278,12,think,th,hi,in,nk,t,h,i,n,k,,0.6964714000932872,0.7924788999371231,0.8804136998951435,1.0965140000917017,1.1204999999608845,0.0,think,highwf,
13,s278,13,therm,th,he,er,rm,t,h,e,r,m,,0.7004358000122011,0.8043521998915821,0.9004980998579413,0.9484375999309123,1.0204485999420285,0.0,therm,lowwf,
14,s278,14,kremp,kr,re,em,mp,k,r,e,m,p,,0.8643215999472886,1.032405799953267,1.0803282000124454,1.1763830999843776,1.4723753998987377,0.0,kremp,pseudo,
15,s278,15,about,ab,bo,ou,ut,a,b,o,u,t,,0.6043549999594688,0.7163635001052171,0.9964306000620127,1.1242961999960244,1.2362367999739945,0.0,about,highwf,
16,s278,16,think,th,hi,in,nk,t,h,a,i,n,k,0.6403330999892205,0.8402939999941736,1.0243035999592394,1.7764948999974877,1.9203546999488026,1.984500200022012,thaink,highwf,
17,s278,17,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.6042766000609845,1.8283082998823375,2.012269000057131,3.4203595998696983,3.460376000031829,0.0,zibja,pseudo,
18,s278,18,vodka,vo,od,dk,ka,v,o,d,k,a,,1.1442908002063632,2.040410300018266,2.1123714002314955,2.240404700161889,2.2962269000709057,0.0,vodka,medwf,
19,s278,19,zibja,zi,ib,bj,ja,z,i,j,a,,,1.3962117000482976,1.5643655001185834,2.2685186001472175,2.3243257000576705,0.0,0.0,zija,pseudo,
20,s278,20,heond,he,eo,on,nd,h,e,o,n,d,,1.0402069999836385,1.2005772001575679,1.6802229001186788,1.824181200005114,1.9122455001343042,0.0,heond,pseudo,
21,s278,21,haole,ha,ao,ol,le,h,a,o,l,e,,0.8682399000972509,0.9482293000910431,1.076127199921757,1.2681497000157833,1.3323073000647128,0.0,haole,lowwf,
22,s278,22,buddy,bu,ud,dd,dy,b,u,d,d,y,,0.760218600044027,0.9202944000717252,1.0722024999558926,1.2161531001329422,1.3123073999304324,0.0,buddy,highwf,
23,s278,23,lucky,lu,uc,ck,ky,l,u,c,k,y,,1.068245599977672,1.2522106999531388,1.3321050000377,1.444112499943003,1.6921273998450488,0.0,lucky,highwf,
24,s278,24,edthe,ed,dt,th,he,e,d,t,h,e,,1.4641128000803292,2.160132999997586,2.3921010999474674,2.4882181000430137,2.576037500053644,0.0,edthe,pseudo,
25,s278,25,puppy,pu,up,pp,py,p,u,p,p,y,,1.9080684001091868,2.228095500031486,2.475994799984619,2.652072299970314,2.900455499999225,0.0,puppy,medwf,
26,s278,26,pykka,py,yk,kk,ka,p,y,k,k,a,,1.3120935000479221,1.4641522001475096,1.840163700049743,1.9440322001464665,2.0560101000592113,0.0,pykka,pseudo,
27,s278,27,about,ab,bo,ou,ut,a,b,u,t,,,0.6120756000746042,0.6920262000057846,0.9721244999673218,1.8122648000717163,0.0,0.0,abut,highwf,
28,s278,28,theme,th,he,em,me,t,h,e,m,e,,0.7120139999315143,0.8161802999675274,0.9682299999985844,1.367987500037998,1.4959241000469774,0.0,theme,medwf,
