,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
94,s83,94,23,0,'p' 'y',py,0.3920087181031704,pykka,pykka,1
95,s83,95,23,1, 'y' 'k',yk,0.6800478030927479,pykka,pykka,1
96,s83,96,23,2, 'k' 'k',kk,0.13595191296190023,pykka,pykka,1
97,s83,97,23,3, 'k' 'a',ka,0.14413395803421736,pykka,pykka,1
98,s83,98,24,0,'z' 'i',zi,0.23195207491517067,zibja,zibja,1
99,s83,99,24,1, 'i' 'b',ib,0.6000009067356586,zibja,zibja,1
100,s83,100,24,2, 'b' 'j',bj,0.3680179100483656,zibja,zibja,1
101,s83,101,24,3, 'j' 'a',ja,0.4800873282365501,zibja,zibja,1
102,s83,102,25,0,'a' 'b',ab,0.26401573000475764,about,about,0
103,s83,103,25,1, 'b' 'o',bo,0.19196714228019118,about,about,0
104,s83,104,25,2, 'o' 'u',ou,0.11203553900122643,about,about,0
105,s83,105,25,3, 'u' 't',ut,0.12794170109555125,about,about,0
106,s83,106,26,0,'h' 'a',ha,0.13617154024541378,haole,haole,1
107,s83,107,26,1, 'a' 'o',ao,0.247834000736475,haole,haole,1
108,s83,108,26,2, 'o' 'l',ol,0.20002870028838515,haole,haole,1
109,s83,109,26,3, 'l' 'e',le,0.08796932687982917,haole,haole,1
110,s83,110,27,0,'l' 'u',lu,0.19997045584023,lucky,lucky,0
111,s83,111,27,1, 'u' 'c',uc,0.17612061696127057,lucky,lucky,0
112,s83,112,27,2, 'c' 'k',ck,0.12002548389136791,lucky,lucky,0
113,s83,113,27,3, 'k' 'y',ky,0.19990582531318069,lucky,lucky,0
114,s83,114,28,0,'t' 'h',th,0.11205853801220655,there,there,2
115,s83,115,28,1, 'h' 'e',he,0.07200331427156925,there,there,2
116,s83,116,28,2, 'e' 'r',er,0.07192027475684881,there,there,2
117,s83,117,28,3, 'r' 'e',re,0.12006273493170738,there,there,2
118,s83,118,29,0,'b' 'u',bu,0.2719286042265594,buddy,buddy,1
119,s83,119,29,1, 'u' 'd',ud,0.2000083951279521,buddy,buddy,1
120,s83,120,29,2, 'd' 'd',dd,0.1681039589457214,buddy,buddy,1
121,s83,121,29,3, 'd' 'y',dy,0.08799938997253776,buddy,buddy,1
122,s83,122,30,0,'t' 'h',th,0.12000446813181043,therm,therm,1
123,s83,123,30,1, 'h' 'e',he,0.07192806480452418,therm,therm,1
124,s83,124,30,2, 'e' 'r',er,0.0800245157442987,therm,therm,1
125,s83,125,30,3, 'r' 'm',rm,0.13600579742342234,therm,therm,1
126,s83,126,31,0,'t' 'i',ti,0.18399275792762637,tithe,tiuthe,2
