,sID,mean_deltart,wf_type
41,s347,-0.02806059788278443,low
42,s348,-0.002572901961256695,low
43,s349,0.00853078999789432,low
44,s350,-0.0003964800003450364,low
45,s351,-0.014876415999606252,low
46,s352,-0.017857763040608366,low
0,s009,-0.01434814706262128,med
1,s020,-0.024274523913074674,med
2,s175,-0.006045560612359883,med
3,s176,-0.03942963478165557,med
4,s178,0.006171396458704102,med
5,s180,-0.001247382423099014,med
6,s181,-0.012576093091102278,med
7,s182,-0.016362736112534793,med
8,s183,-0.010953861586956562,med
9,s189,-0.0028789238198302113,med
10,s190,-0.011491000544852933,med
11,s198,-0.013097593492722878,med
12,s207,0.010941999999846777,med
13,s209,-0.01283812399720773,med
14,s210,0.0017212705073378434,med
15,s212,0.010519292307689136,med
16,s217,0.0025347905620089115,med
17,s219,-0.026875065418911017,med
18,s224,-0.013637177561087389,med
19,s240,-0.007400883010254716,med
20,s254,0.004658088099122755,med
21,s261,0.0019709705877318687,med
22,s262,0.003512347058809681,med
23,s263,0.0027512708305342365,med
24,s267,-0.0116414122440263,med
25,s276,-0.011111498103072902,med
26,s278,-0.020383506666661968,med
27,s279,-0.016627603922696677,med
28,s282,-0.011271113995462661,med
29,s283,-0.015394520408911058,med
30,s286,-0.02111690000553305,med
31,s302,-0.019085657999976323,med
32,s304,-0.017997356000414584,med
33,s305,-0.004939828846545424,med
34,s306,-0.015886732691657156,med
35,s309,-0.027297877088130917,med
36,s311,-0.005967735999875003,med
37,s313,-0.0038376510638625677,med
38,s336,0.0008828204544525678,med
39,s344,-0.03161494666581145,med
40,s345,-0.014218748886034721,med
41,s347,-0.011322815555872189,med
42,s348,0.0003987139987293631,med
43,s349,-0.008019261109573702,med
44,s350,0.004803426412180207,med
45,s351,-0.0181019903818826,med
46,s352,-0.004007281260176872,med
0,s009,-0.010060257409888975,high
1,s020,-0.02144238076918835,high
2,s175,0.0014793890416816234,high
3,s176,-0.01147179230778979,high
4,s178,-0.004156380809624405,high
5,s180,-0.000804756700017606,high
6,s181,-0.014268391486696617,high
7,s182,-0.06293543070019718,high
8,s183,-0.013540213311080148,high
9,s189,0.0004115816785620069,high
10,s190,-0.009153032856475975,high
11,s198,-0.004904815186617068,high
12,s207,0.011545877554453904,high
13,s209,-0.012230109804602086,high
14,s210,-0.0018794744052380945,high
15,s212,-0.006090641509423599,high
16,s217,-0.0014585509527263777,high
17,s219,-0.02160223166854983,high
18,s224,-0.0056919075706797955,high
19,s240,0.0007330132121185087,high
20,s254,0.017993288890769076,high
21,s261,-0.006824300000936581,high
22,s262,-0.007977557692312915,high
23,s263,0.011992714629031533,high
24,s267,-0.011020394000224771,high
25,s276,0.002529662500213211,high
26,s278,-0.008963818744329425,high
27,s279,-0.018720511109913116,high
28,s282,-0.025852479990571737,high
29,s283,-0.0016365122496701625,high
30,s286,0.00948294199071823,high
31,s302,-0.015265727451008513,high
32,s304,-0.014449653061574839,high
33,s305,-0.019540249055936793,high
34,s306,-0.009464560415532713,high
35,s309,-0.024108589125756655,high
36,s311,-0.020002563999951234,high
37,s313,-0.0032054980392429437,high
38,s336,-0.007983726414166534,high
39,s344,-0.006356063636220902,high
40,s345,-0.010235282692100065,high
41,s347,-0.001350623071910096,high
42,s348,-0.0009274875022432146,high
43,s349,0.002482228259475011,high
44,s350,0.006185556604869594,high
45,s351,-0.015567865303470468,high
46,s352,-0.0021062195604748053,high
