,sID,mean_RT,sd_RT,cv_RT,wf_type
35,s309,973.8484108668712,127.75371279010575,0.12975064087637306,pseudo
36,s311,732.0727727270092,116.86152951503858,0.15817318017255616,pseudo
37,s313,679.8544553571284,160.28117181585853,0.23364360154935632,pseudo
38,s336,636.345712282172,121.00524506057089,0.18848103547536715,pseudo
39,s344,1216.9212818177502,289.14707842770946,0.23543545076226252,pseudo
40,s345,702.4791944487434,128.3044334055122,0.18094611036900307,pseudo
41,s347,888.0186054474589,193.8371521826756,0.21628703680458283,pseudo
42,s348,863.4363140353296,239.32647852872506,0.27473692064401806,pseudo
43,s349,848.0828264047269,127.8042180920928,0.14926935485593493,pseudo
44,s350,682.172721053735,98.70504422690435,0.14341731395653007,pseudo
45,s351,875.9544694922486,188.69581331489692,0.21358400329065716,pseudo
46,s352,680.7841034973726,207.70627919419593,0.3024104575788169,pseudo
47,s009,629.6613236381248,56.0856552395051,0.08825926678291092,low
48,s020,1055.4642265306586,223.38181327496622,0.20947243083244194,low
49,s175,825.6331498240909,94.13149104089047,0.11300675433160966,low
50,s176,917.8776509449202,166.07214681470583,0.1792155714286703,low
51,s178,796.5764283947647,124.97803614187131,0.1553171035285754,low
52,s180,502.11495446428347,43.531471358207234,0.08591866524704973,low
53,s181,761.3764152130378,110.6173929389262,0.14398303712383756,low
54,s182,823.299982282541,219.27649505474292,0.26394978096472044,low
55,s183,806.9042618518215,105.49391182679432,0.12952286500821086,low
56,s189,776.5435759862096,101.65618811788144,0.1297944074915135,low
57,s190,681.8372911726267,65.02446974360184,0.09455490447906631,low
58,s198,732.8093726839007,89.36102612662955,0.12080869322840104,low
59,s207,833.7920754730595,108.17254820004524,0.12850589013790661,low
60,s209,832.3396290885285,117.0874355552805,0.13938795829676728,low
61,s210,813.6454163655147,203.58905911987068,0.24784661401105748,low
62,s212,835.9589545454583,173.84131181905616,0.20605519653652504,low
63,s217,728.8213613965925,131.4747134771708,0.1788042039925477,low
64,s219,1026.903568526011,206.0206013884392,0.1988554843710618,low
65,s224,878.6505934659322,259.9587500527229,0.2930569129229063,low
66,s240,576.6448086400613,57.85339754185984,0.09945895989633738,low
67,s254,1051.4140113796616,133.96603725420098,0.1259588945089975,low
68,s261,731.2184035116317,96.52627605407419,0.13084436502854244,low
69,s262,653.1947931034156,114.71217600209214,0.17409657807391993,low
70,s263,897.5639056638411,133.34847249211256,0.14715885584067476,low
71,s267,1215.8128037776378,286.27494982783287,0.2332278300338875,low
72,s276,770.1158982797944,153.12421765336583,0.19711116500301035,low
73,s278,877.2578791540582,219.2461523669668,0.24730506619318052,low
74,s279,951.4011678135938,130.47663900046032,0.13597437516571925,low
75,s282,939.0376461580252,190.868040677388,0.2012952968851416,low
76,s283,757.8202053721595,114.49655323936683,0.14973163393475936,low
77,s286,895.2615461401786,272.5922596635904,0.3015414405112045,low
78,s302,702.1549491525502,113.34908206088161,0.1600563972587056,low
79,s304,668.7044107142616,98.44788751661689,0.14590142882629215,low
80,s305,646.3459033905765,136.87702682168268,0.20996821370473692,low
81,s306,643.6587593210388,69.62218873494152,0.10724572251035105,low
82,s309,854.1415581839498,137.52006049243255,0.15953344257345212,low
83,s311,662.4703230772167,114.73725659374341,0.17152263899163772,low
84,s313,643.5732793103444,184.6875138363141,0.2844873513721296,low
85,s336,588.1793543879196,85.03635519129085,0.14330173435936666,low
86,s344,1037.172158695403,214.14252077209585,0.2042111266732428,low
87,s345,626.5582169816864,88.80254065990012,0.1403872601705824,low
88,s347,754.3159188606055,168.070039170539,0.2206992032294524,low
89,s348,750.0048122805821,81.1996129155184,0.10731155661962276,low
90,s349,811.5119660776274,143.37718782187002,0.17509448255200968,low
91,s350,660.6781374939601,73.39377341182133,0.11009221565999515,low
92,s351,791.8564982163454,147.6736498883918,0.18481782508678676,low
93,s352,607.5208250057096,106.25614651761737,0.1732113347801658,low
94,s009,620.3345701796934,59.20656955700416,0.0946020396491298,med
95,s020,1001.5764249999568,160.7732057975787,0.1589692020362938,med
96,s175,786.3833909274862,70.81558394191204,0.08922982548107858,med
97,s176,906.979086535732,232.86230502946583,0.25426426953519016,med
98,s178,817.4447129692948,156.90170648159878,0.19025052480886634,med
99,s180,512.1626849828818,65.53011078331532,0.1268400485674662,med
100,s181,716.792337156406,121.84179910846935,0.16853532397983212,med
101,s182,794.4182571846502,144.54500519436615,0.1804022141606783,med
102,s183,771.4028888846044,110.73488477114212,0.14216301104325707,med
103,s189,765.3889987890706,89.47428303684366,0.11588826005964203,med
104,s190,683.0756732439302,84.06800761447118,0.12200717378903315,med
105,s198,696.209936995667,108.97696611959888,0.15519670141130598,med
106,s207,851.87274999827,204.69600831492502,0.23796772783529876,med
107,s209,814.483619640149,124.64274628225368,0.15166032631989465,med
108,s210,756.1869982213891,136.22908949648215,0.17822582550627863,med
109,s212,775.9157241379289,92.27309917187583,0.11789190500641242,med
110,s217,678.8810051077883,87.34918397249716,0.1275713600634279,med
111,s219,1006.279851391877,220.91455245709787,0.21749366082922633,med
112,s224,811.0374120979344,176.95724271429407,0.21629719408768802,med
113,s240,657.9878728568428,220.22736054210492,0.33184965871790245,med
114,s254,1039.9376333322532,243.30598328707998,0.23151215874010575,med
115,s261,722.293259647446,95.92738321343548,0.13163931725210481,med
116,s262,636.9374175438488,81.76764381569063,0.12724517004457234,med
117,s263,932.8126814841569,182.86004966775886,0.19420725358207494,med
118,s267,1004.5604581849394,153.59392304214086,0.15150029865468292,med
119,s276,681.6684559216502,87.28303978746978,0.12695349351359522,med
120,s278,885.1352215689772,302.86349096371083,0.3387951740339681,med
121,s279,925.6542596573893,97.06298663221185,0.10393490707715451,med
122,s282,858.9364857138468,122.47421123604883,0.14130936064200034,med
123,s283,747.0825145529076,142.63114813764423,0.18917395406410106,med
124,s286,838.7252166177389,161.97681620254627,0.1913260972630868,med
125,s302,694.7509946428535,177.07253659092365,0.25258605077986657,med
126,s304,641.9561249993941,106.86898090742118,0.1649808939040053,med
127,s305,607.9065293105768,75.8748524846242,0.12373269797782746,med
128,s306,688.6479206888029,129.53904773697042,0.1864776942930786,med
129,s309,792.8789222280977,136.14181825129003,0.17010838783206994,med
130,s311,639.8893535711717,131.21436512876983,0.2032187755295906,med
131,s313,599.7234622641114,79.27068443330978,0.1309258208502353,med
132,s336,580.2407720003976,70.50339586421136,0.12028593026399907,med
133,s344,1022.794139208546,231.78929694385192,0.22439080755276986,med
134,s345,600.393194118606,73.08311612984325,0.12052612950630505,med
135,s347,692.827272562164,144.71664830165324,0.2068204290137044,med
136,s348,729.3540946432456,91.07097563661407,0.12374535188005333,med
137,s349,790.0061783380806,123.37408573519652,0.15486163502447917,med
138,s350,649.1692966102795,106.31711749890019,0.16238025282839985,med
139,s351,719.4734155220493,135.09484290272735,0.18614331770730377,med
140,s352,594.3319888923455,122.69238926217884,0.2045170749270041,med
141,s009,604.9463416779569,56.42347033845422,0.09248968916899518,high
142,s020,907.806082758678,166.40325301080867,0.18171557584886872,high
143,s175,778.8962379628275,72.99471255793905,0.09284378803316831,high
144,s176,856.9984948342859,110.11547519088978,0.12737720913901496,high
145,s178,742.4511235092947,89.90482044354157,0.12002499454252166,high
146,s180,529.2139843393703,99.24586534694463,0.1858525149186132,high
147,s181,676.9913787612202,126.35674573983408,0.1850560487978744,high
148,s182,790.8246167748727,260.18494877291675,0.32588601770912845,high
149,s183,767.1958666078353,102.7945296165442,0.1326672305747596,high
150,s189,717.0505272777025,65.79771206811932,0.09098064763144316,high
151,s190,646.1323366267607,79.03736088746095,0.12130014906716836,high
152,s198,667.4495292119293,88.82330721285652,0.13196503857811812,high
153,s207,756.8557127294215,126.44903972381597,0.165545727774197,high
154,s209,848.7887298249183,143.99624027005655,0.16815436065830236,high
155,s210,722.6881221523164,182.54332735789552,0.25023963649380854,high
156,s212,779.6623745762498,149.63795662638654,0.19029316250213943,high
157,s217,627.6119474511025,72.7029400882988,0.1148546975600782,high
158,s219,969.9446490306098,191.15913222431223,0.19543326135169997,high
159,s224,731.482770140046,127.9443016706177,0.17342225869552386,high
160,s240,573.1098644230199,82.92340368571664,0.14345881105888178,high
161,s254,1035.3601862740356,187.9499019061108,0.1797424085281436,high
162,s261,669.6711517228134,58.60253320245848,0.08675174712690864,high
163,s262,614.5985724138246,76.16814508695822,0.12285851546648285,high
164,s263,928.0250999962594,172.43299396687024,0.18381909907253763,high
165,s267,1001.9841750025599,162.72863153360146,0.16094979987240993,high
166,s276,697.2251685241375,81.65764552299925,0.11602854667319594,high
167,s278,746.8173574199211,199.71811319558,0.26493791010003126,high
168,s279,886.9884466480775,120.74034976702865,0.134984793725527,high
169,s282,828.8101946236566,205.88453184569218,0.24618181318932975,high
170,s283,752.730645429851,216.7557282926699,0.28532939872240043,high
171,s286,898.0225875025748,186.66902958207606,0.20600242871122573,high
172,s302,613.5305385964864,86.48921196696267,0.13972764553854852,high
173,s304,602.2717999990246,97.06668789585362,0.15969569811653753,high
174,s305,586.229986440631,88.01490530276645,0.14885937375271033,high
175,s306,593.7511944416824,82.05570449945242,0.13691320504380824,high
176,s309,766.5260365465656,125.11224206566679,0.16164278038302496,high
177,s311,613.1576357146774,96.72642275471367,0.15633647548031354,high
178,s313,580.6523736841324,77.23049544861829,0.13183453777183035,high
179,s336,528.2136542353605,55.316709232380894,0.10383283303449631,high
180,s344,1043.0038099980447,253.4294277957988,0.24053827159630461,high
181,s345,586.4629896542314,73.25479799633699,0.12382801074264724,high
182,s347,617.3653775938498,109.35800771950274,0.17560292697791705,high
183,s348,697.4684240779391,67.64824421292263,0.09608885826063185,high
184,s349,732.0008788419028,102.79286658508518,0.13907042797697097,high
185,s350,630.3739949174903,86.76999166458374,0.13647693419214638,high
186,s351,706.6323109034618,146.88145218615972,0.20596290138135928,high
187,s352,547.1144884582967,80.40254570239829,0.14553753002945652,high
