,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
136,s282,136,34,3, 'z' 'e',ze,0.3199843999464065,druze,druze,0,210896,low,low,low
137,s282,137,35,0,'l' 'u',lu,0.34409749996848404,lucky,lucky,3,568081,med,low,high
138,s282,138,35,1, 'u' 'c',uc,0.5840798001736403,lucky,lucky,3,891233,med,low,high
139,s282,139,35,2, 'c' 'k',ck,0.15185369993560016,lucky,lucky,3,925655,med,low,high
140,s282,140,35,3, 'k' 'y',ky,0.4479743998963386,lucky,lucky,3,49764,low,low,high
141,s282,141,36,0,'c' 'o',co,0.19999879994429648,cooed,cooed,1,3609272,med,med,low
142,s282,142,36,1, 'o' 'o',oo,0.18400100013241172,cooed,cooed,1,1933683,med,med,low
143,s282,143,36,2, 'o' 'e',oe,0.1760789998807013,cooed,cooed,1,270012,low,med,low
144,s282,144,36,3, 'e' 'd',ed,0.20795710012316704,cooed,cooed,1,7805967,high,med,low
145,s282,145,37,0,'t' 'i',ti,0.28800619998946786,tithe,tithe,3,5135552,high,high,low
146,s282,146,37,1, 'i' 't',it,0.18398769991472363,tithe,tithe,3,6637233,high,high,low
147,s282,147,37,2, 't' 'h',th,0.1920757000334561,tithe,tithe,3,22288309,high,high,low
148,s282,148,37,3, 'h' 'e',he,0.19187280000187457,tithe,tithe,3,21484684,high,high,low
149,s282,149,38,0,'b' 'e',be,0.12796279997564852,belly,bellly,2,3798740,med,med,med
150,s282,150,38,1, 'e' 'l',el,0.296013800194487,belly,bellly,2,3235254,med,med,med
151,s282,151,38,2, 'l' 'l',ll,0.1839942999649793,belly,bellly,2,4235407,med,med,med
152,s282,152,38,3, 'l' 'l',ly,0.1200912999920547,belly,bellly,2,2589130,med,med,med
153,s282,153,38,4, 'l' 'y',,0.24824139988049865,belly,bellly,2,,,med,med
154,s282,154,39,0,'c' 'h',ch,0.2079692999832332,cheer,cheer,2,3267507,med,high,med
155,s282,155,39,1, 'h' 'e',he,0.2880371001083404,cheer,cheer,2,21484684,high,high,med
156,s282,156,39,2, 'e' 'e',ee,0.22400980000384152,cheer,cheer,2,2839722,med,high,med
157,s282,157,39,3, 'e' 'r',er,0.24003469990566373,cheer,cheer,2,12934901,high,high,med
158,s282,158,40,0,'t' 'h',th,0.18396770022809505,there,there,1,22288309,high,high,high
159,s282,159,40,1, 'h' 'e',he,0.12000149977393448,there,there,1,21484684,high,high,high
160,s282,160,40,2, 'e' 'r',er,0.12808310007676482,there,there,1,12934901,high,high,high
161,s282,161,40,3, 'r' 'e',re,0.127945699961856,there,there,1,10687711,high,high,high
162,s282,162,41,0,'a' 'b',ab,0.23201739997603,about,about,0,1203849,med,med,high
163,s282,163,41,1, 'b' 'o',bo,0.10390830016694963,about,about,0,1140702,med,med,high
164,s282,164,41,2, 'o' 'u',ou,0.255897399969399,about,about,0,7425307,high,med,high
165,s282,165,41,3, 'u' 't',ut,0.12014020001515746,about,about,0,3257233,med,med,high
166,s282,166,42,0,'t' 'h',th,0.1599848000332713,theme,theme,0,22288309,high,high,med
167,s282,167,42,1, 'h' 'e',he,0.15202270005829632,theme,theme,0,21484684,high,high,med
168,s282,168,42,2, 'e' 'm',em,0.4719897999893874,theme,theme,0,2039661,med,high,med
169,s282,169,42,3, 'm' 'e',me,0.09618250001221895,theme,theme,0,4724108,high,high,med
170,s282,170,43,0,'c' 'space',ch,0.023987799882888794,cheer,cspaceheer,3,3267507,med,high,med
171,s282,171,43,1, 'space' 'h',he,0.1599825001321733,cheer,cspaceheer,3,21484684,high,high,med
172,s282,172,43,2, 'h' 'e',ee,0.20001829997636378,cheer,cspaceheer,3,2839722,med,high,med
173,s282,173,43,3, 'e' 'e',er,0.1439451000187546,cheer,cspaceheer,3,12934901,high,high,med
174,s282,174,43,4, 'e' 'r',,0.2162659999448806,cheer,cspaceheer,3,,,high,med
175,s282,175,44,0,'t' 'h',th,0.24788289982825518,therm,therm,2,22288309,high,high,low
176,s282,176,44,1, 'h' 'e',he,0.1520236001815647,therm,therm,2,21484684,high,high,low
177,s282,177,44,2, 'e' 'r',er,0.13608679990284145,therm,therm,2,12934901,high,high,low
178,s282,178,44,3, 'r' 'm',rm,0.18395700003020465,therm,therm,2,905131,med,high,low
179,s282,179,45,0,'c' 'h',ch,0.1759949999395758,champ,chmp,0,3267507,med,med,med
180,s282,180,45,1, 'h' 'm',ha,0.3441858000587672,champ,chmp,0,6967591,high,med,med
181,s282,181,45,2, 'm' 'p',am,0.6638497000094503,champ,chmp,0,1610395,med,med,med
182,s282,182,46,0,'p' 'u',pu,0.3200379000045359,puppy,puppy,1,514720,low,low,med
183,s282,183,46,1, 'u' 'p',up,0.28793319989927113,puppy,puppy,1,968744,med,low,med
184,s282,184,46,2, 'p' 'p',pp,0.1842335001565516,puppy,puppy,1,805170,med,low,med
185,s282,185,46,3, 'p' 'y',py,0.1917592000681907,puppy,puppy,1,149099,low,low,med
186,s282,186,47,0,'v' 'space',va,0.03203160013072193,vanru,vspaceanru,2,560130,med,med,pseudo
187,s282,187,47,1, 'space' 'a',an,0.19997780001722276,vanru,vspaceanru,2,12315713,high,med,pseudo
188,s282,188,47,2, 'a' 'n',nr,0.14412910002283752,vanru,vspaceanru,2,54341,low,med,pseudo
189,s282,189,47,3, 'n' 'r',ru,0.22387659992091358,vanru,vspaceanru,2,705492,med,med,pseudo
190,s282,190,47,4, 'r' 'u',,0.23211139999330044,vanru,vspaceanru,2,,,med,pseudo
191,s282,191,48,0,'p' 'y',py,0.415997400181368,pykka,pykka,2,149099,low,low,pseudo
192,s282,192,48,1, 'y' 'k',yk,0.6720092999748886,pykka,pykka,2,4767,low,low,pseudo
193,s282,193,48,2, 'k' 'k',kk,0.15992309991270304,pykka,pykka,2,1820,low,low,pseudo
194,s282,194,48,3, 'k' 'a',ka,0.11204069992527366,pykka,pykka,2,60568,low,low,pseudo
195,s282,195,49,0,'f' 'a',fa,0.9680524000432342,faqir,faqir,2,1043958,med,low,low
196,s282,196,49,1, 'a' 'q',aq,0.3759775999933481,faqir,faqir,2,4924,low,low,low
197,s282,197,49,2, 'q' 'i',qi,0.3279991999734193,faqir,faqir,2,36,low,low,low
198,s282,198,49,3, 'i' 'r',ir,0.19196249986998737,faqir,faqir,2,2142678,med,low,low
199,s282,199,50,0,'c' 'h',ch,0.1919253000523895,champ,champ,1,3267507,med,med,med
200,s282,200,50,1, 'h' 'a',ha,0.2001059998292476,champ,champ,1,6967591,high,med,med
201,s282,201,50,2, 'a' 'm',am,0.19193920004181564,champ,champ,1,1610395,med,med,med
202,s282,202,50,3, 'm' 'p',mp,0.20806810003705323,champ,champ,1,1042198,med,med,med
203,s282,203,51,0,'d' 'r',dr,0.27968029980547726,druze,druze,1,567936,med,low,low
