,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
251,s209,251,62,0,'l' 'u',lu,0.15201085503213108,lucky,lucky,3,568081
252,s209,252,62,1, 'u' 'c',uc,0.06396004208363593,lucky,lucky,3,891233
253,s209,253,62,2, 'c' 'k',ck,0.1279520730022341,lucky,lucky,3,925655
254,s209,254,62,3, 'k' 'y',ky,0.14395116898231208,lucky,lucky,3,49764
255,s209,255,63,0,'k' 'r',kr,0.0720765118021518,kremp,kremp,2,5683
256,s209,256,63,1, 'r' 'e',re,0.08005120418965816,kremp,kremp,2,10687711
257,s209,257,63,2, 'e' 'm',em,0.09600756783038378,kremp,kremp,2,2039661
258,s209,258,63,3, 'm' 'p',mp,0.17598370998166502,kremp,kremp,2,1042198
259,s209,259,64,0,'t' 'h',th,0.09605132695287466,therm,therm,2,22288309
260,s209,260,64,1, 'h' 'e',he,0.12002735096029937,therm,therm,2,21484684
261,s209,261,64,2, 'e' 'r',er,0.05599947995506227,therm,therm,2,12934901
262,s209,262,64,3, 'r' 'm',rm,0.23987664305604994,therm,therm,2,905131
263,s209,263,65,0,'l' 'u',lu,0.17608743091113865,lucky,lucky,4,568081
264,s209,264,65,1, 'u' 'c',uc,0.10383311007171869,lucky,lucky,4,891233
265,s209,265,65,2, 'c' 'k',ck,0.08812519581988454,lucky,lucky,4,925655
266,s209,266,65,3, 'k' 'y',ky,0.1518824421800673,lucky,lucky,4,49764
267,s209,267,66,0,'c' 'h',ch,0.10397441918030381,cheer,cheer,1,3267507
268,s209,268,66,1, 'h' 'e',he,0.15996750490739942,cheer,cheer,1,21484684
269,s209,269,66,2, 'e' 'e',ee,0.24007545202039182,cheer,cheer,1,2839722
270,s209,270,66,3, 'e' 'r',er,0.22403036407195032,cheer,cheer,1,12934901
271,s209,271,67,0,'z' 'i',zi,0.08012812305241823,zibja,zibja,2,54565
272,s209,272,67,1, 'i' 'b',ib,0.15996674494817853,zibja,zibja,2,493267
273,s209,273,67,2, 'b' 'j',bj,0.17591097601689398,zibja,zibja,2,105433
